# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
active(icl>adj,ant>inactive)	Direct	a	8(4),1(4),4(4)	4832
active(icl>voice>thing,equ>active_voice,ant>passive_voice)	Direct	n	1(2)	8620
active_voice(icl>voice>thing,ant>passive_voice)	Direct	n	1(2)	8620
activity(icl>act>thing,ant>inactivity)	Direct	n	1(4)	673
activity(icl>process>thing,equ>natural_process)	Direct	n	2(4),1(4)	1617
activity(icl>state>thing,equ>action,ant>inactivity)	Hypernymy	n	3(2),1(2),2(2),7(2)	8759
activity(icl>trait>thing,equ>activeness,ant>inactiveness)	Direct	n	2(4),1(4)	24898
actor(icl>performer>thing)	Direct	n	1(4)	4192
actor(icl>performer>thing)	Hypernymy	n	1(2),2(2)	535
actor(icl>person>thing)	Direct	n	2(4)	12659
actress(icl>actor>thing)	Direct	n	1(4)	6359
actually(icl>how)	Direct	adv	3(4)	526
actuate(icl>cause>do,equ>motivate,agt>thing,obj>thing)	Hypernymy	v	2(2),1(2)	35384
acuity(icl>intelligence>thing,equ>acuteness)	Direct	n	2(4)	11733
acute(icl>adj)	Direct	a	1(9),2(4),7(4)	2546
acute_angle(icl>oblique_angle>thing)	Direct	n	1(2),2(2)	23614
acuteness(icl>intelligence>thing)	Direct	n	2(4)	11733
ad(icl>how)	Direct	adv	4(4)	28154
ad_hoc(icl>adj)	Direct	a	1(4)	8981
adage(icl>saying>thing,equ>proverb)	Direct	n	1(5),3(4),2(4)	3737
adam(iof>man>thing)	Direct	n	1(4)	3765
adapted(icl>adj)	Direct	a	1(4)	17362
add-on(icl>component>thing,equ>accessory)	Direct	n	1(4)	39283
addable(icl>adj)	Direct	a	1(4),1(4)	26239
addend(icl>number>thing)	Direct	n	2(2)	26238
adder(icl>viper>thing)	Direct	n	1(2)	4963
addict(icl>drug_user>thing)	Hypernymy	n	1(2),2(2)	2899
addict(icl>habituate>do,cob>thing,agt>person,obj>thing)	Direct	v	2(2)	12511
addicted(icl>adj,ant>unaddicted)	Direct	a	(2)	2909
addiction(icl>physiological_state>thing)	Direct	n	4(2),3(2)	2855
addis_ababa(iof>national_capital>thing)	Direct	n	2(4)	24001
addition(icl>arithmetic_operation>thing,equ>summation)	Direct	n	2(4)	313
addition(icl>increase>thing,ant>subtraction)	Direct	n	2(2)	16926
addition(icl>increase>thing,ant>subtraction)	Hypernymy	n	1(2)	35378
additional(icl>adj,equ>extra)	Direct	a	1(7),6(4)	34372
additive(icl>addition>thing)	Direct	n	1(2)	27791
addle(icl>jumble>do,agt>thing,obj>thing)	Direct	v	2(2)	15070
address(icl>action,agt>volitional_thing,ben>volitional_thing)	Direct	n	1(4)	36308
address(icl>call>do,cob>name,agt>person,obj>person)	Direct	v	1(4)	13372
address(icl>code>thing)	Hypernymy	n	2(2),3(2),1(2)	35490
address(icl>geographic_point>thing)	Direct	n	2(4),1(4)	5813
address(icl>speak>do,agt>person,obj>thing,rec>thing)	Direct	v	2(2)	36418
adenine(icl>purine>thing)	Direct	n	(4)	27055
adept(icl>expert>thing,equ>ace)	Direct	n	2(4)	29929
adermin(icl>b-complex_vitamin>thing,equ>vitamin_b6)	Direct	n	(4)	27178
adhere(icl>attach>occur,obj>thing)	Direct	v	1(2)	5228
adi_granth(iof>sacred_text>thing)	Direct	n	3(2),3(2),(4)	21046
adieu(icl>farewell>thing)	Direct	n	(4),(4)	34470
aditi(iof>hindu_deity>thing)	Direct	n	21(4)	26480
aditya(icl>hindu_deity>thing)	Hypernymy	n	3(2),1(2),2(2)	26469
aditya(icl>hindu_deity>thing)	Hypernymy	n	1(2)	26477
aditya(icl>hindu_deity>thing)	Direct	n	1(4)	26802
aditya(icl>hindu_deity>thing)	Hypernymy	n	1(2)	26803
aditya(icl>hindu_deity>thing)	Hypernymy	n	1(2)	26808
aditya(icl>hindu_deity>thing)	Direct	n	1(2)	32898
adjective(icl>modifier>thing)	Direct	n	1(5)	10052
adjournment(icl>postponement>thing)	Direct	n	1(2)	33684
adjudicator(icl>person>thing)	Direct	n	2(2)	6507
adjunct(icl>adj)	Direct	a	3(4)	8263
adjure(icl>plead>do,equ>bid,agt>volitional_thing,obj>uw,rec>volitional_thing)	Direct	v	2(4),3(4)	4301
adjustment(icl>organic_process>thing,equ>adaptation)	Direct	n	1(4)	3415
administration(icl>body>abstract_thing,equ>managers,obj>organization)	Direct	n	1(2)	28448
administration(icl>body>abstract_thing,equ>managers,obj>organization)	Hypernymy	n	1(2),2(2)	37947
administrative(icl>adj,com>administration)	Direct	a	1(4)	12068
administrative_body(icl>unit>thing,equ>administrative_unit)	Direct	n	1(2)	3405
administrative_district(icl>district>thing)	Hypernymy	n	3(2),2(2),1(2)	241
administrative_division(icl>district>thing,equ>administrative_district)	Hypernymy	n	3(2),2(2),1(2)	241
administrative_unit(icl>unit>thing)	Direct	n	1(2)	3405
administrator(icl>head>thing)	Direct	n	1(2)	7658
admired(icl>adj)	Direct	a	1(4)	17578
admirer(icl>advocate>thing,equ>supporter)	Direct	n	3(4)	213
admirer(icl>person>thing)	Hypernymy	n	1(2),3(2),2(2)	7062
admission(icl>fee>thing,equ>entrance_fee)	Direct	n	1(2),2(2)	5716
admittable(icl>adj)	Direct	a	1(4),1(4)	1248
admittance(icl>entrance>thing,equ>admission)	Direct	n	6(4)	3311
admixture(icl>combination>thing,equ>mix)	Direct	n	3(2)	12941
admonish(icl>rede>do,equ>warn,agt>volitional_thing,obj>uw,rec>volitional_thing)	Direct	v	3(2),3(2)	5473
admonitory(icl>adj)	Direct	a	1(4)	27074
ado(icl>commotion>thing,equ>bustle)	Direct	n	1(4)	2617
adolescence(icl>immaturity>thing)	Direct	n	1(9)	10778
adolescent(icl>juvenile>thing)	Direct	n	1(2)	4364
adopt(icl>do,com>family,cob>thing,agt>person,obj>person,gol>uw,frm>uw)	Direct	v	1(3)	34733
adoption(icl>action,com>family,cob>thing,agt>thing,obj>person,gol>uw,frm>uw)	Direct	n	1(2)	13217
adoptive(icl>adj,equ>adopted,ant>native)	Direct	a	1(4),1(4)	2004
adored(icl>adj)	Direct	a	2(2)	1419
adorn(icl>change>do,equ>decorate,cob>thing,agt>thing,obj>concrete_thing)	Direct	v	1(5)	2557
